essay_id,essay_set,essay,rater1_domain1,rater2_domain1,rater3_domain1,domain1_score,rater1_domain2,rater2_domain2,domain2_score,rater1_trait1,rater1_trait2,rater1_trait3,rater1_trait4,rater1_trait5,rater1_trait6,rater2_trait1,rater2_trait2,rater2_trait3,rater2_trait4,rater2_trait5,rater2_trait6,rater3_trait1,rater3_trait2,rater3_trait3,rater3_trait4,rater3_trait5,rater3_trait6
1,1,"Shape, shepherd, ship, and show technical programs designed to support the work of Cloud Customer Engineers and Solutions Architects.
Measure and report on key metrics tied to those programs to identify any need to change course, cancel, or scale the programs from a regional to global platform.
Communicate status and identify any obstacles and paths for resolution to stakeholders, including those in senior roles, in a transparent, regular, professional and timely manner.
Establish expectations and rationale on deliverables for stakeholders and program contributors.
Provide program performance feedback to teams in Product, Engineering, Sales, and Marketing (among others) to enable efficient cross-team operations.",10,7,,7,,,,,,,,,,,,,,,,,,,,,
2,1,"Drive cross-functional activities in the supply chain for overall Technical Operational readiness in all NPI phases leading into mass production.
Collaborate with suppliers and Engineering teams in assessing process technologies based on project requirements, and propose and develop the manufacturing blueprint including process flow, equipment/fixture designs, implementation schedules and validation plans for engineering builds and mass production.
Drive project technical and operational issues with material, process, fixtures, equipment, etc. during the NPI phase to enable delivery of a mature product and manufacturing process into mass production. Support/drive continuous improvement efforts in the supply chain.
Lead suppliers by providing technical direction to establish and validate (utilizing statistical tools) process capability during the NPI phase for consistently delivering a quality product in mass production.
Utilize FMEA and other Industry standard tools to proactively identify and address risks and optimize process parameters.",9,9,,8,,,,,,,,,,,,,,,,,,,,,
3,1,"Collect and analyze data to draw insight and identify strategic solutions.
Build consensus by facilitating broad collaboration with clear communication and documentation.
Work with cross-functional stakeholders to gather requirements, manage implementation, and drive delivery of projects.",8,7,,8,,,,,,,,,,,,,,,,,,,,,
4,1,"Work one-on-one with the top Android, iOS, and web engineers to build exciting new product/API integrations that drive adoption of Googles developer platforms.
Conceive new features and ideas that can change how users interact with apps and Google, and help developers build them.
Conduct regular, engineering-focused meetings with developers to help them design new systems, fix bugs, improve UX, and solve complex code issues.
Work on the source code of Google's products with other engineers to identify, reproduce, and/or fix bugs that are affecting developers.",8,10,,8,,,,,,,,,,,,,,,,,,,,,
5,1,"Plan requirements with internal customers.
Provide portfolio reports and forecasts to Regional Service Delivery Manager. Manage vendor PM services to usher projects through the entire lifecycle.
Plan finances and tracking across a portfolio of projects.
Ensure that any changes in scope, schedule or cost are managed in accordance with the agreed change order procedures. Interface with cross functional stakeholders to understand and communicate program strategy and priorities.
Ensure project closure processes are completed - including handover to support. Help to validate new and improve existing products by partnering with AV Eng teams. Set operational goals and lead ongoing process and program improvement initiatives.",8,9,,8,,,,,,,,,,,,,,,,,,,,,
6,1,"Communicate with customers via phone and email.
Provide strategic advice and consultation to help our advertisers get the best experience from our advertising products.
Implement creative ways to improve customer relationships. Tailor and share online marketing strategy suggestions.
Work towards strategic goals, while prioritizing and delivering an outstanding customer experience to Google's advertisers.",7,9,,7,,,,,,,,,,,,,,,,,,,,,
7,1,"Manage cross-functional activities in the supply chain for overall Technical Operational readiness in all NPI phases leading into Mass Production.
Collaborate with Suppliers and Engineering teams in assessing process technologies based on project requirements and propose and develop manufacturing blueprint including process flow, equipment/fixture designs, implementation schedules and more.
Manage project technical and operational issues regarding material, process, fixtures, equipment, etc, during NPI phase.
Utilize FMEA and other industry standard tools to proactively identify and address risks and optimize process parameters.",9,9,,10,,,,,,,,,,,,,,,,,,,,,
8,1,"Lead the development and strategy with partners for healthcare and life sciences. Build relationships with our partners and focus on long term, mutually beneficial solutions.
Engage with Product Management, Sales and Engineering teams to align product directions with our external partners.
Work with peer teams to establish partner strategy and priorities that will determine recruiting and partner development focus. Be responsible for recruiting, developing and supporting strategic technology partnerships and the partner ecosystem.
Help partners leverage Google's technology to enhance their own offerings, integrate with them to fill gaps in and extend our product portfolio.
Be the point of contact for partners around key areas (Operations, Financial, Sales, Training, Product Enhancement, etc.) and drive new partnerships, support integration of new products to existing partners, and ensure the prompt and proper resolution of daily business challenges.",8,8,,7,,,,,,,,,,,,,,,,,,,,,
9,1,"Develop CM/ODM strategy and implement supplier management processes with critical partners.
Lead the creation and implementation of RFX processes for sourcing needs.
Manage the agreement creation process with the cross-functional program needs in mind.
Manage assigned manufacturing partner to program requirements in cost, quality, schedule and technology areas.
Perform periodic cost improvement ideas in terms of DFM or alternative technology choices.",9,10,,8,,,,,,,,,,,,,,,,,,,,,
10,1,"Help compile customer requirements as well as survey existing customer IT landscape to enable integrations from PoC stage to a full deployment of products managing healthcare and/or life sciences data in Google Cloud.
Define the business case for solutions, design solutions to help prototype and develop the customer’s new environment, and guide solutions through launch to market. Create training materials, guides, demonstrations and white papers and help scale solutions delivery.
Engage standards communities to drive the development of standards that meet platform and customer needs, and ensure that standards implementers know what the Google Cloud Healthcare platform can do for them.
Demonstrate thought leadership in cloud computing across multiple channels and become a trusted advisor to decision makers. Provide customer and market feedback to the Product and Engineering teams and help shape product direction.
Travel as required in-region for meetings, technical reviews and onsite delivery activities.",10,8,,8,,,,,,,,,,,,,,,,,,,,,
